Player,Id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS36M,OFFR,OFFR36M,DEFR,DEFR36M,OFFDEFRATE,ASTPERD,BLKPF,RATE,RATETOT,FGA20P,MP10R,MP10A,MP20P
Sekou Doumbouya,doumbse01,PF,20,DET,56,11,15.5,1.9,5.0,0.379,0.5,2.1,0.226,1.4,3.0,0.485,0.426,0.8,1.1,0.703,0.7,1.9,2.6,0.8,0.4,0.2,0.8,1.7,5.1,11.8,2.7,6.3,0.8,1.9,8.2,1.0,0.1,3.2,179.0,19.6,59.6,193.8,60.8
PJ Dozier,doziepj01,SG,24,DEN,50,6,21.8,3.0,7.1,0.41700000000000004,0.9,3.0,0.315,2.0,4.1,0.49,0.483,0.8,1.3,0.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7,12.7,5.2,8.6,2.2,3.6,12.2,2.0,0.2,6.9,345.0,18.4,60.6,121.1,56.6
Goran Dragic,dragigo01,PG,34,MIA,50,11,26.7,4.8,11.1,0.43200000000000005,1.8,4.9,0.373,3.0,6.2,0.479,0.514,2.0,2.4,0.828,0.5,2.9,3.4,4.4,0.7,0.2,2.4,2.3,13.4,18.1,9.6,12.9,1.5,2.0,14.9,1.8,0.1,10.7,535.0,16.6,78.5,60.7,39.9
Andre Drummond,drumman01,C,27,TOT,46,46,27.0,6.1,12.4,0.493,0.0,0.2,0.0,6.1,12.3,0.5,0.493,2.7,4.5,0.6,3.6,8.4,12.0,2.0,1.4,1.1,2.7,3.2,14.9,19.9,11.5,15.3,7.7,10.3,25.6,0.7,0.3,17.4,800.0,16.6,22.5,135.0,36.2
Andre Drummond,drumman01,C,27,CLE,25,25,28.9,7.2,15.2,0.474,0.0,0.3,0.0,7.2,14.9,0.484,0.474,3.1,5.2,0.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5,21.8,12.9,16.1,9.4,11.7,27.8,0.8,0.4,20.3,508.0,17.4,21.4,111.2,33.0
Andre Drummond,drumman01,C,27,LAL,21,21,24.8,4.9,9.1,0.531,0.0,0.0,,4.9,9.1,0.531,0.531,2.2,3.6,0.605,3.1,7.1,10.2,1.4,1.1,1.0,2.0,3.8,11.9,17.3,10.2,14.8,5.4,7.8,22.6,0.7,0.3,14.2,298.0,15.3,24.3,177.1,41.7
Jared Dudley,dudleja01,PF,35,LAL,12,0,6.8,0.2,0.8,0.222,0.2,0.5,0.33299999999999996,0.0,0.3,0.0,0.33299999999999996,0.0,0.0,,0.3,1.4,1.8,0.4,0.1,0.1,0.2,0.6,0.5,2.6,0.4,2.1,1.0,5.3,7.4,2.0,0.2,1.5,18.0,32.0,37.8,170.0,272.0
Kris Dunn,dunnkr01,PG,26,ATL,4,0,11.3,0.3,3.0,0.083,0.0,0.5,0.0,0.3,2.5,0.1,0.083,0.8,1.0,0.75,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3,4.1,-1.7,-5.4,0.0,0.0,-5.4,0.6,0.2,-1.9,-8.0,46.2,75.3,226.0,173.8
Kevin Durant,duranke01,PF,32,BRK,35,32,33.1,9.3,17.2,0.537,2.4,5.4,0.45,6.8,11.8,0.5770000000000001,0.608,6.0,6.8,0.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,26.9,29.3,21.6,23.5,6.7,7.3,30.8,1.6,0.6,27.5,962.0,12.8,46.6,59.1,24.6
Anthony Edwards,edwaran01,SG,19,MIN,72,55,32.1,7.0,16.8,0.41700000000000004,2.4,7.2,0.32899999999999996,4.6,9.6,0.483,0.488,2.9,3.8,0.7759999999999999,0.8,3.8,4.7,2.9,1.1,0.5,2.2,1.8,19.3,21.6,11.0,12.3,3.6,4.0,16.3,1.3,0.3,13.8,994.0,17.4,68.3,110.7,33.3
Carsen Edwards,edwarca01,SG,22,BOS,31,1,8.9,1.5,3.6,0.423,0.6,2.0,0.28600000000000003,0.9,1.5,0.604,0.505,0.4,0.4,0.846,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,4.0,16.2,2.3,9.3,0.1,0.4,9.7,2.5,0.0,2.4,74.0,18.0,111.2,178.0,44.5
CJ Elleby,ellebcj01,SF,20,POR,30,0,6.4,0.8,2.2,0.379,0.2,1.1,0.20600000000000002,0.6,1.1,0.563,0.43200000000000005,0.4,0.5,0.733,0.4,0.7,1.1,0.3,0.2,0.1,0.2,0.9,2.3,12.9,1.4,7.9,0.1,0.6,8.5,1.5,0.1,1.4,42.0,19.1,58.2,213.3,55.7
Henry Ellenson,ellenhe01,PF,24,TOR,2,0,19.0,2.5,7.0,0.35700000000000004,1.0,4.5,0.222,1.5,2.5,0.6,0.429,1.5,2.0,0.75,1.5,4.5,6.0,2.5,0.0,0.0,0.0,3.5,7.5,14.2,7.0,13.3,1.0,1.9,15.2,inf,0.0,7.5,15.0,18.7,31.7,76.0,50.7
Wayne Ellington,ellinwa01,SG,33,DET,46,31,22.0,3.2,7.3,0.441,2.5,6.0,0.42200000000000004,0.7,1.4,0.524,0.612,0.6,0.8,0.8,0.3,1.6,1.8,1.5,0.4,0.2,0.7,1.3,9.6,15.7,6.6,10.8,0.9,1.5,12.3,2.1,0.2,7.2,331.0,15.2,122.2,146.7,45.8
Joel Embiid,embiijo01,C,26,PHI,51,51,31.1,9.0,17.6,0.513,1.1,3.0,0.377,7.9,14.6,0.541,0.545,9.2,10.7,0.8590000000000001,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5,33.0,21.8,25.2,8.4,9.7,34.9,0.9,0.6,28.7,1464.0,12.4,29.3,111.1,21.8
James Ennis,ennisja01,SF,30,ORL,41,37,24.0,2.8,5.9,0.473,1.1,2.5,0.433,1.7,3.4,0.504,0.5660000000000001,1.7,2.1,0.805,1.0,3.0,4.0,1.5,0.8,0.2,0.9,2.0,8.4,12.6,6.9,10.4,2.0,3.0,13.4,1.7,0.1,8.5,348.0,14.0,60.0,160.0,57.1
Drew Eubanks,eubandr01,C,23,SAS,54,3,14.0,2.1,3.8,0.5660000000000001,0.0,0.0,1.0,2.1,3.8,0.562,0.5710000000000001,1.4,2.0,0.726,1.4,3.1,4.5,0.8,0.3,0.9,0.8,1.6,5.8,14.9,5.5,14.1,2.7,6.9,21.0,1.0,0.6,7.6,410.0,13.1,31.1,175.0,48.3
