Player,Id,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS36M,OFFR,OFFR36M,DEFR,DEFR36M,OFFDEFRATE,ASTPERD,BLKPF,RATE,RATETOT,FGA20P,MP10R,MP10A,MP20P
Rudy Gobert,goberru01,C,28,UTA,71,71,30.8,5.5,8.2,0.675,0.0,0.1,0.0,5.5,8.1,0.68,0.675,3.3,5.3,0.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3,16.7,14.6,17.1,11.1,13.0,30.1,0.8,1.2,23.7,1683.0,11.5,22.8,236.9,43.1
Brandon Goodwin,goodwbr01,PG,25,ATL,47,5,13.2,1.8,4.7,0.377,0.7,2.2,0.311,1.1,2.6,0.433,0.44799999999999995,0.6,0.9,0.6509999999999999,0.2,1.3,1.5,2.0,0.4,0.0,0.8,0.9,4.9,13.4,3.4,9.3,0.8,2.2,11.5,2.5,0.0,3.9,183.0,19.2,88.0,66.0,53.9
Aaron Gordon,gordoaa01,PF,25,TOT,50,50,27.7,4.6,10.0,0.46299999999999997,1.2,3.5,0.335,3.4,6.5,0.5329999999999999,0.522,1.9,3.0,0.6509999999999999,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4,16.1,9.8,12.7,3.7,4.8,17.5,1.7,0.4,12.5,625.0,16.1,48.6,86.6,44.7
Aaron Gordon,gordoaa01,PF,25,ORL,25,25,29.4,5.1,11.7,0.43700000000000006,1.7,4.5,0.375,3.4,7.2,0.475,0.509,2.6,4.2,0.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2.0,14.6,17.9,11.1,13.6,4.5,5.5,19.1,1.6,0.4,13.9,348.0,16.0,44.5,70.0,40.3
Aaron Gordon,gordoaa01,PF,25,DEN,25,25,25.9,4.1,8.2,0.5,0.7,2.6,0.266,3.4,5.7,0.606,0.541,1.2,1.8,0.705,1.5,3.2,4.7,2.2,0.7,0.6,1.2,1.6,10.2,14.2,8.6,12.0,2.9,4.0,16.0,1.8,0.4,10.9,272.0,16.1,55.1,117.7,50.8
Eric Gordon,gordoer01,SG,32,HOU,27,13,29.2,5.9,13.6,0.433,2.6,7.8,0.32899999999999996,3.3,5.8,0.573,0.527,3.5,4.2,0.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8,21.9,11.1,13.7,1.3,1.6,15.3,1.4,0.3,11.6,313.0,15.3,139.0,112.3,32.8
Devonte' Graham,grahade01,PG,25,CHO,55,44,30.2,4.6,12.2,0.377,3.3,8.7,0.375,1.3,3.5,0.38,0.51,2.4,2.9,0.8420000000000001,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8,17.6,11.5,13.7,1.9,2.3,16.0,3.6,0.1,12.9,710.0,16.5,111.9,55.9,40.8
Jerami Grant,grantje01,SF,26,DET,54,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.3,11.2,0.473,0.491,5.4,6.4,0.845,0.6,4.0,4.6,2.8,0.6,1.1,2.0,2.3,22.3,23.7,13.8,14.7,3.4,3.6,18.3,1.4,0.5,16.2,875.0,15.5,73.7,121.1,30.4
Danny Green,greenda02,SF,33,PHI,69,69,28.0,3.2,7.9,0.41200000000000003,2.5,6.3,0.405,0.7,1.6,0.43799999999999994,0.573,0.4,0.6,0.775,0.8,3.0,3.8,1.7,1.3,0.8,1.0,1.8,9.5,12.2,6.3,8.1,3.3,4.2,12.3,1.7,0.4,9.4,649.0,16.6,73.7,164.7,58.9
Draymond Green,greendr01,PF,30,GSW,63,63,31.5,2.7,6.0,0.447,0.5,2.0,0.27,2.2,4.0,0.535,0.49200000000000005,1.1,1.4,0.795,0.9,6.3,7.1,8.9,1.7,0.8,3.0,3.1,7.0,8.0,10.5,12.0,5.7,6.5,18.5,3.0,0.3,15.8,995.0,17.1,44.4,35.4,90.0
JaMychal Green,greenja01,PF,30,DEN,58,5,19.3,3.0,6.4,0.46299999999999997,1.4,3.4,0.39899999999999997,1.6,3.0,0.534,0.568,0.8,1.0,0.807,1.5,3.3,4.8,0.9,0.4,0.4,0.9,2.5,8.1,15.1,6.2,11.6,1.6,3.0,14.6,1.0,0.2,7.6,441.0,15.8,40.2,214.4,47.7
Javonte Green,greenja02,SG-PG,27,TOT,41,2,11.5,1.3,2.5,0.52,0.2,0.7,0.33299999999999996,1.0,1.8,0.597,0.569,0.7,1.0,0.75,0.6,1.1,1.7,0.4,0.7,0.1,0.5,1.1,3.6,11.3,2.9,9.1,0.8,2.5,11.6,0.8,0.1,3.4,139.0,13.9,67.6,287.5,63.9
Javonte Green,greenja02,SG,27,BOS,25,2,13.8,1.6,2.8,0.5489999999999999,0.3,0.9,0.318,1.3,2.0,0.653,0.599,0.8,1.2,0.667,0.8,1.3,2.1,0.4,0.7,0.1,0.5,1.3,4.2,11.0,3.7,9.7,0.8,2.1,11.8,0.8,0.1,4.1,102.0,13.3,65.7,345.0,65.7
Javonte Green,greenja02,PG,27,CHI,16,0,8.0,0.9,1.9,0.452,0.2,0.5,0.375,0.7,1.4,0.478,0.5,0.6,0.6,1.0,0.4,0.8,1.2,0.4,0.6,0.3,0.4,0.8,2.6,11.7,2.0,9.0,0.9,4.0,13.0,1.0,0.4,2.9,46.0,14.6,66.7,200.0,61.5
Jeff Green,greenje02,C,34,BRK,68,38,27.0,3.8,7.8,0.49200000000000005,1.5,3.7,0.41200000000000003,2.3,4.1,0.564,0.59,1.8,2.4,0.7759999999999999,0.5,3.4,3.9,1.6,0.5,0.4,0.8,1.8,11.0,14.7,8.3,11.1,2.5,3.3,14.4,2.0,0.2,10.2,694.0,14.2,69.2,168.8,49.1
Josh Green,greenjo02,SG,20,DAL,39,5,11.4,1.1,2.4,0.452,0.1,0.6,0.16,1.0,1.7,0.5589999999999999,0.473,0.3,0.6,0.565,0.7,1.3,2.0,0.7,0.4,0.1,0.4,0.9,2.6,8.2,2.3,7.3,0.9,2.8,10.1,1.7,0.1,2.9,113.0,18.5,57.0,162.9,87.7
Blake Griffin,griffbl01,PF,31,TOT,46,30,25.8,3.8,8.9,0.423,1.5,4.5,0.341,2.3,4.5,0.505,0.509,1.9,2.5,0.7440000000000001,0.8,4.1,4.9,3.0,0.7,0.3,1.3,2.4,11.0,15.3,8.4,11.7,2.7,3.8,15.5,2.3,0.1,10.5,483.0,16.2,52.7,86.0,46.9
Blake Griffin,griffbl01,PF,31,DET,20,20,31.3,4.1,11.1,0.365,2.0,6.2,0.315,2.1,4.9,0.429,0.45299999999999996,2.2,3.1,0.71,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3,14.1,8.0,9.2,3.6,4.1,13.3,2.4,0.0,10.6,212.0,18.0,60.2,80.3,50.9
Blake Griffin,griffbl01,PF,31,BRK,26,10,21.5,3.6,7.3,0.49200000000000005,1.2,3.1,0.38299999999999995,2.4,4.2,0.574,0.574,1.7,2.1,0.782,1.1,3.6,4.7,2.4,0.7,0.5,1.2,2.7,10.0,16.7,8.6,14.4,2.1,3.5,17.9,2.0,0.2,10.3,268.0,14.6,45.7,89.6,43.0
Kyle Guy,guyky01,PG,23,SAC,31,0,7.6,0.9,2.8,0.33,0.4,1.5,0.28300000000000003,0.5,1.4,0.381,0.40299999999999997,0.5,0.6,0.8,0.2,1.0,1.1,1.0,0.2,0.0,0.4,0.6,2.8,13.3,1.7,8.1,0.6,2.8,10.9,2.5,0.0,2.1,65.0,20.0,69.1,76.0,54.3
Rui Hachimura,hachiru01,PF,22,WAS,57,57,31.5,5.4,11.4,0.478,0.8,2.4,0.32799999999999996,4.6,9.0,0.519,0.513,2.2,2.8,0.77,0.9,4.6,5.5,1.4,0.8,0.1,1.2,2.1,13.8,15.8,8.9,10.2,3.4,3.9,14.1,1.2,0.0,11.7,667.0,16.5,57.3,225.0,45.7
Ashton Hagans,haganas01,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,-0.5,-9.0,0.0,0.0,-9.0,0.0,,-0.5,-1.0,,inf,inf,inf
Tyrese Haliburton,halibty01,PG,20,SAC,58,20,30.1,5.0,10.7,0.47200000000000003,2.1,5.1,0.409,2.9,5.6,0.529,0.569,0.8,1.0,0.857,0.7,2.3,3.0,5.3,1.3,0.5,1.6,1.4,13.0,15.5,11.7,14.0,2.7,3.2,17.2,3.3,0.4,14.2,824.0,16.5,100.3,56.8,46.3
Donta Hall,halldo01,PF,23,ORL,13,0,13.8,1.9,2.7,0.7140000000000001,0.0,0.0,,1.9,2.7,0.7140000000000001,0.7140000000000001,1.8,2.6,0.6759999999999999,1.8,2.9,4.8,0.8,0.4,0.8,0.6,1.4,5.6,14.6,6.8,17.7,2.7,7.0,24.7,1.3,0.6,8.8,114.0,9.6,28.8,172.5,49.3
Josh Hall,halljo01,SF,20,OKC,21,1,16.0,1.4,4.7,0.303,0.2,1.8,0.10800000000000001,1.2,3.0,0.419,0.32299999999999995,1.0,2.1,0.5,0.3,2.5,2.8,1.3,0.2,0.0,1.2,1.8,4.1,9.2,1.2,2.7,0.9,2.0,4.7,1.1,0.0,1.0,21.0,22.9,57.1,123.1,78.0
R.J. Hampton,hamptrj01,SG-PG,19,TOT,51,1,17.4,2.7,6.1,0.435,0.5,1.7,0.31,2.1,4.4,0.48200000000000004,0.478,1.1,1.6,0.6709999999999999,0.6,2.9,3.5,1.7,0.4,0.2,1.0,1.2,6.9,14.3,4.8,9.9,2.3,4.8,14.7,1.7,0.2,6.6,337.0,17.7,49.7,102.4,50.4
R.J. Hampton,hamptrj01,PG,19,DEN,25,0,9.3,1.0,2.4,0.41700000000000004,0.2,0.7,0.278,0.8,1.7,0.47600000000000003,0.45799999999999996,0.4,0.5,0.75,0.4,1.6,2.0,0.6,0.2,0.1,0.4,0.9,2.6,10.1,1.8,7.0,1.0,3.9,10.9,1.5,0.1,2.7,68.0,18.5,46.5,155.0,71.5
R.J. Hampton,hamptrj01,SG,19,ORL,26,1,25.2,4.3,9.7,0.439,0.8,2.7,0.319,3.4,7.1,0.484,0.48200000000000004,1.8,2.7,0.657,0.7,4.2,5.0,2.8,0.6,0.3,1.6,1.5,11.2,16.0,7.7,11.0,3.6,5.1,16.1,1.7,0.2,10.5,273.0,17.3,50.4,90.0,45.0
Tim Hardaway Jr.,hardati02,SG,28,DAL,70,31,28.4,5.8,13.0,0.447,3.0,7.6,0.391,2.9,5.5,0.524,0.56,2.0,2.5,0.816,0.3,3.0,3.3,1.8,0.4,0.2,0.9,1.6,16.6,21.0,10.6,13.4,2.0,2.5,15.9,2.0,0.1,12.1,847.0,15.7,86.1,157.8,34.2
James Harden,hardeja01,PG-SG,31,TOT,44,43,36.6,7.8,16.7,0.466,2.8,7.6,0.36200000000000004,5.0,9.1,0.5529999999999999,0.5479999999999999,6.3,7.3,0.861,0.8,7.1,7.9,10.8,1.2,0.8,4.0,2.3,24.6,24.2,23.3,22.9,6.8,6.7,29.6,2.7,0.3,29.1,1280.0,13.6,46.3,33.9,29.8
James Harden,hardeja01,SG,31,HOU,8,8,36.3,7.5,16.9,0.444,3.1,9.0,0.34700000000000003,4.4,7.9,0.556,0.537,6.6,7.5,0.883,0.6,4.5,5.1,10.4,0.9,0.8,4.3,1.8,24.8,24.6,22.1,21.9,4.4,4.4,26.3,2.4,0.4,25.6,205.0,13.6,71.2,34.9,29.3
James Harden,hardeja01,PG,31,BRK,36,35,36.6,7.8,16.6,0.47100000000000003,2.7,7.3,0.366,5.2,9.4,0.552,0.551,6.3,7.3,0.856,0.8,7.7,8.5,10.9,1.3,0.8,4.0,2.4,24.6,24.2,23.5,23.1,7.4,7.3,30.4,2.7,0.3,29.9,1076.0,13.5,43.1,33.6,29.8
Maurice Harkless,harklma01,PF-SF,27,TOT,37,23,20.9,1.9,4.5,0.418,0.6,2.3,0.27399999999999997,1.2,2.2,0.568,0.488,0.9,1.2,0.767,0.4,2.1,2.4,1.2,0.8,0.5,0.6,2.3,5.2,9.0,3.6,6.2,1.1,1.9,8.1,2.0,0.2,4.3,159.0,17.3,87.1,174.2,80.4
Maurice Harkless,harklma01,SF,27,MIA,11,3,11.3,0.5,1.2,0.385,0.5,1.0,0.455,0.0,0.2,0.0,0.5770000000000001,0.0,0.2,0.0,0.2,1.0,1.2,0.6,0.2,0.4,0.3,1.3,1.4,4.5,1.2,3.8,0.3,1.0,4.8,2.0,0.3,1.3,14.0,17.1,94.2,188.3,161.4
Maurice Harkless,harklma01,PF,27,SAC,26,20,24.9,2.5,5.8,0.42100000000000004,0.7,2.8,0.247,1.8,3.0,0.5820000000000001,0.48,1.3,1.6,0.805,0.4,2.5,2.9,1.4,1.1,0.6,0.7,2.8,6.9,10.0,4.7,6.8,1.4,2.0,8.8,2.0,0.2,5.8,151.0,16.8,85.9,177.9,72.2
Jared Harper,harpeja01,PG,23,NYK,8,0,2.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.4,0.5,0.75,0.0,0.3,0.3,0.1,0.0,0.0,0.4,0.1,0.4,7.2,-0.4,-7.2,0.2,3.6,-3.6,0.2,0.0,-0.3,-2.0,25.0,66.7,200.0,100.0
Montrezl Harrell,harremo01,C,27,LAL,69,1,22.9,5.4,8.7,0.622,0.0,0.1,0.0,5.4,8.6,0.632,0.622,2.6,3.7,0.7070000000000001,2.3,3.9,6.2,1.1,0.7,0.7,1.1,1.9,13.5,21.2,12.5,19.7,3.4,5.3,25.0,1.0,0.4,14.8,1021.0,12.9,36.9,208.2,33.9
Gary Harris,harriga01,SG,26,TOT,39,38,27.7,3.5,8.8,0.4,1.2,3.6,0.34,2.3,5.2,0.441,0.47,1.6,2.0,0.821,0.5,1.5,2.0,2.0,0.7,0.3,0.9,1.8,9.9,12.9,6.2,8.1,0.7,0.9,9.0,2.2,0.2,6.5,254.0,17.8,138.5,138.5,56.0
Gary Harris,harriga01,SG,26,DEN,19,19,30.6,3.6,8.2,0.442,1.3,3.9,0.32,2.4,4.3,0.556,0.519,1.2,1.6,0.733,0.7,1.8,2.5,1.7,0.9,0.2,0.7,1.9,9.7,11.4,6.8,8.0,1.0,1.2,9.2,2.4,0.1,7.4,141.0,16.9,122.4,180.0,63.1
Gary Harris,harriga01,SG,26,ORL,20,19,25.0,3.5,9.5,0.365,1.2,3.3,0.364,2.3,6.2,0.366,0.429,2.1,2.4,0.875,0.4,1.2,1.6,2.3,0.6,0.4,1.2,1.7,10.2,14.7,5.7,8.2,0.5,0.7,8.9,1.9,0.2,5.9,118.0,18.6,156.2,108.7,49.0
Jalen Harris,harrija01,SG,22,TOR,13,2,13.2,2.8,5.5,0.5,1.3,2.8,0.47200000000000003,1.5,2.8,0.528,0.618,0.5,0.7,0.778,0.2,1.2,1.4,1.3,0.6,0.0,1.1,1.2,7.4,20.2,5.1,13.9,0.6,1.6,15.5,1.2,0.0,5.5,72.0,14.9,94.3,101.5,35.7
Joe Harris,harrijo01,SF,29,BRK,69,65,31.0,5.2,10.2,0.505,3.1,6.4,0.475,2.1,3.8,0.555,0.654,0.7,0.9,0.778,0.6,3.0,3.6,1.9,0.7,0.2,0.9,2.0,14.1,16.4,10.7,12.4,1.9,2.2,14.6,2.1,0.1,12.4,856.0,14.5,86.1,163.2,44.0
Tobias Harris,harrito02,PF,28,PHI,62,62,32.5,7.6,14.9,0.512,1.3,3.4,0.39399999999999996,6.3,11.5,0.546,0.556,2.9,3.3,0.892,1.0,5.8,6.8,3.5,0.9,0.8,1.7,1.9,19.5,21.6,15.0,16.6,5.6,6.2,22.8,2.1,0.4,20.2,1252.0,15.3,47.8,92.9,33.3
Shaquille Harrison,harrish01,SG,27,TOT,34,0,9.8,0.8,2.3,0.33299999999999996,0.1,0.5,0.188,0.7,1.8,0.371,0.353,0.5,0.6,0.818,0.2,1.2,1.4,0.7,0.5,0.1,0.3,1.0,2.1,7.7,1.2,4.4,0.8,2.9,7.3,2.3,0.1,1.9,65.0,21.9,70.0,140.0,93.3
Shaquille Harrison,harrish01,SG,27,UTA,17,0,3.3,0.4,1.2,0.3,0.0,0.1,0.0,0.4,1.1,0.33299999999999996,0.3,0.3,0.4,0.833,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.2,1.0,10.9,0.6,6.5,0.3,3.3,9.8,1.7,0.0,0.7,12.0,24.0,66.0,66.0,66.0
Shaquille Harrison,harrish01,SG,27,DEN,17,0,16.3,1.2,3.4,0.345,0.2,0.8,0.214,1.0,2.6,0.386,0.371,0.8,0.9,0.813,0.2,2.1,2.3,0.9,0.9,0.3,0.4,1.8,3.3,7.3,1.8,4.0,1.5,3.3,7.3,2.2,0.2,3.2,54.0,20.6,70.9,181.1,98.8
Josh Hart,hartjo01,SF,25,NOP,47,4,28.7,3.2,7.3,0.439,1.3,4.1,0.326,1.9,3.2,0.583,0.531,1.5,1.9,0.775,1.1,6.9,8.0,2.3,0.8,0.3,1.0,2.4,9.2,11.5,7.5,9.4,5.6,7.0,16.4,2.3,0.1,12.7,597.0,15.9,35.9,124.8,62.4
Isaiah Hartenstein,harteis01,C,22,TOT,46,2,12.2,2.0,3.7,0.55,0.0,0.1,0.33299999999999996,2.0,3.6,0.5579999999999999,0.556,1.0,1.5,0.648,1.4,2.5,3.9,1.2,0.4,0.8,1.0,2.3,5.1,15.0,5.0,14.8,1.4,4.1,18.9,1.2,0.3,5.9,271.0,14.5,31.3,101.7,47.8
Isaiah Hartenstein,harteis01,C,22,DEN,30,0,9.1,1.4,2.7,0.513,0.0,0.0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2.0,3.5,13.8,3.3,13.1,0.6,2.4,15.5,0.7,0.4,3.4,102.0,15.4,32.5,182.0,52.0
Isaiah Hartenstein,harteis01,C,22,CLE,16,2,17.9,3.3,5.7,0.5820000000000001,0.1,0.4,0.33299999999999996,3.2,5.3,0.6,0.593,1.5,2.2,0.6859999999999999,1.6,4.4,6.0,2.5,0.5,1.2,1.4,2.8,8.3,16.7,8.6,17.3,3.3,6.6,23.9,1.8,0.4,11.2,179.0,13.7,29.8,71.6,43.1
Udonis Haslem,hasleud01,C,40,MIA,1,0,3.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,48.0,4.0,48.0,1.0,12.0,60.0,,,5.0,5.0,10.0,30.0,inf,15.0
Jaxson Hayes,hayesja02,C,20,NOP,60,3,16.1,2.9,4.7,0.625,0.1,0.2,0.429,2.8,4.4,0.635,0.636,1.6,2.0,0.775,1.5,2.8,4.3,0.6,0.4,0.6,0.7,1.7,7.5,16.8,7.1,15.9,2.1,4.7,20.6,0.9,0.4,8.8,528.0,12.5,37.4,268.3,42.9
Killian Hayes,hayeski01,PG,19,DET,26,18,25.8,2.7,7.7,0.353,0.8,2.8,0.278,2.0,5.0,0.395,0.40299999999999997,0.5,0.7,0.8240000000000001,0.2,2.4,2.7,5.3,1.0,0.4,3.2,2.2,6.8,9.5,4.1,5.7,1.6,2.2,7.9,1.7,0.2,5.6,146.0,22.6,95.6,48.7,75.9
Gordon Hayward,haywago01,SF,30,CHO,44,44,34.0,7.1,15.0,0.473,1.9,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6,20.8,14.5,15.4,4.8,5.1,20.5,2.0,0.2,18.7,823.0,15.3,57.6,82.9,34.7
Juan Hernangómez,hernaju01,PF,25,MIN,52,6,17.3,2.5,5.8,0.435,1.1,3.2,0.327,1.4,2.5,0.573,0.527,1.2,1.9,0.619,0.9,3.1,3.9,0.7,0.4,0.1,0.5,1.0,7.2,15.0,5.0,10.4,2.6,5.4,15.8,1.4,0.1,6.8,354.0,16.1,44.4,247.1,48.1
Willy Hernangómez,hernawi01,C,26,NOP,47,12,18.0,3.2,5.7,0.563,0.0,0.2,0.1,3.2,5.5,0.581,0.565,1.3,2.0,0.667,2.5,4.6,7.1,1.1,0.5,0.5,0.7,1.4,7.8,15.6,8.2,16.4,4.2,8.4,24.8,1.6,0.4,11.7,550.0,14.6,25.4,163.6,46.2
Tyler Herro,herroty01,SG,21,MIA,54,15,30.3,5.7,12.9,0.439,2.0,5.5,0.36,3.7,7.4,0.498,0.516,1.7,2.2,0.8029999999999999,0.5,4.5,5.0,3.4,0.6,0.3,1.9,1.3,15.1,17.9,9.9,11.8,4.1,4.9,16.7,1.8,0.2,13.5,729.0,17.1,60.6,89.1,40.1
Buddy Hield,hieldbu01,SG,28,SAC,71,71,34.3,5.7,14.0,0.406,4.0,10.2,0.391,1.7,3.8,0.446,0.5479999999999999,1.2,1.5,0.846,0.4,4.3,4.7,3.6,0.9,0.4,1.8,2.5,16.6,17.4,10.5,11.0,3.1,3.3,14.3,2.0,0.2,13.3,944.0,16.9,73.0,95.3,41.3
George Hill,hillge01,PG,34,TOT,30,17,22.4,3.2,6.6,0.48200000000000004,1.0,2.7,0.38799999999999996,2.1,3.9,0.547,0.561,1.3,1.7,0.8,0.5,1.5,2.0,2.4,0.8,0.2,1.0,1.0,8.7,14.0,7.2,11.6,1.5,2.4,14.0,2.4,0.2,8.3,249.0,15.2,112.0,93.3,51.5
George Hill,hillge01,PG,34,OKC,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8,16.1,10.4,14.2,1.6,2.2,16.4,3.4,0.1,11.7,164.0,14.6,125.7,85.2,44.7
George Hill,hillge01,PG,34,PHI,16,3,18.9,2.1,4.8,0.442,0.6,1.4,0.391,1.6,3.4,0.46299999999999997,0.5,1.2,1.6,0.76,0.5,1.5,2.0,1.9,0.7,0.2,1.2,1.2,6.0,11.4,4.5,8.6,1.2,2.3,10.9,1.6,0.2,5.3,85.0,16.0,94.5,99.5,63.0
Solomon Hill,hillso01,PF,29,ATL,71,16,21.3,1.5,4.2,0.359,1.0,3.0,0.321,0.5,1.2,0.45299999999999996,0.473,0.5,0.6,0.7609999999999999,0.6,2.4,3.0,1.1,0.7,0.2,0.6,1.6,4.5,7.6,2.9,4.9,1.7,2.9,7.8,1.8,0.1,4.5,320.0,18.7,71.0,193.6,94.7
Nate Hinton,hintona01,SG,21,DAL,21,0,4.4,0.7,2.0,0.35700000000000004,0.2,0.9,0.21100000000000002,0.5,1.1,0.478,0.405,0.3,0.5,0.7,0.0,0.4,0.4,0.4,0.3,0.1,0.2,0.4,2.0,16.4,0.9,7.4,0.4,3.3,10.7,2.0,0.2,1.1,23.0,20.0,110.0,110.0,44.0
Jaylen Hoard,hoardja01,SF,21,OKC,19,0,16.8,2.3,4.6,0.5,0.0,0.6,0.0,2.3,4.1,0.5710000000000001,0.5,1.5,2.2,0.6829999999999999,1.1,2.3,3.4,1.3,0.7,0.3,0.9,1.0,6.1,13.1,5.3,11.4,2.3,4.9,16.3,1.4,0.3,6.9,131.0,15.1,49.4,129.2,55.1
Aaron Holiday,holidaa01,PG,24,IND,66,8,17.8,2.6,6.6,0.39,1.0,2.8,0.368,1.6,3.8,0.406,0.467,1.0,1.3,0.8190000000000001,0.2,1.1,1.3,1.9,0.7,0.2,1.0,1.4,7.2,14.6,4.3,8.7,0.6,1.2,9.9,1.9,0.1,4.6,304.0,18.3,136.9,93.7,49.4
Jrue Holiday,holidjr01,PG,30,MIL,59,56,32.3,7.0,13.9,0.503,1.9,4.8,0.392,5.1,9.2,0.561,0.57,1.8,2.3,0.787,1.2,3.3,4.5,6.1,1.6,0.6,2.2,1.7,17.7,19.7,15.9,17.7,3.8,4.2,21.9,2.8,0.4,19.2,1133.0,15.7,71.8,53.0,36.5
Justin Holiday,holidju01,SG,31,IND,72,52,30.3,3.6,8.7,0.413,2.4,6.3,0.382,1.2,2.4,0.494,0.551,0.9,1.2,0.7879999999999999,0.4,3.1,3.6,1.7,1.0,0.6,0.8,1.9,10.5,12.5,6.7,8.0,2.8,3.3,11.3,2.1,0.3,9.3,670.0,16.6,84.2,178.2,57.7
Rondae Hollis-Jefferson,holliro01,PF,26,POR,11,1,9.7,0.8,1.6,0.5,0.0,0.1,0.0,0.8,1.5,0.529,0.5,0.8,1.5,0.563,1.0,1.4,2.4,1.2,0.2,0.4,0.2,1.4,2.5,9.3,3.7,13.7,0.6,2.2,15.9,6.0,0.3,3.6,40.0,12.8,40.4,80.8,77.6
Richaun Holmes,holmeri01,C,27,SAC,61,61,29.2,6.0,9.4,0.637,0.0,0.2,0.182,6.0,9.2,0.645,0.638,2.2,2.8,0.794,2.4,5.9,8.3,1.7,0.6,1.6,1.2,3.5,14.2,17.5,13.7,16.9,4.6,5.7,22.6,1.4,0.5,17.7,1080.0,13.2,35.2,171.8,41.1
Rodney Hood,hoodro01,SF,28,TOT,55,5,17.1,1.7,4.7,0.36200000000000004,0.6,2.1,0.301,1.1,2.7,0.408,0.42700000000000005,0.4,0.5,0.857,0.4,1.5,1.9,1.0,0.4,0.1,0.7,1.3,4.5,9.5,2.2,4.6,0.7,1.5,6.1,1.4,0.1,2.8,154.0,20.9,90.0,171.0,76.0
Rodney Hood,hoodro01,SF,28,POR,38,5,19.1,1.9,5.3,0.363,0.7,2.2,0.298,1.3,3.1,0.41,0.425,0.2,0.3,0.75,0.5,1.4,1.9,1.2,0.5,0.1,0.8,1.6,4.7,8.9,2.2,4.1,0.4,0.8,4.9,1.5,0.1,2.5,95.0,22.6,100.5,159.2,81.3
Rodney Hood,hoodro01,SF,28,TOR,17,0,12.7,1.2,3.5,0.35600000000000004,0.5,1.7,0.31,0.7,1.8,0.4,0.43200000000000005,0.9,0.9,0.938,0.3,1.5,1.8,0.4,0.2,0.2,0.3,0.9,3.9,11.1,2.0,5.7,1.0,2.8,8.5,1.3,0.2,3.0,51.0,17.9,70.6,317.5,65.1
Al Horford,horfoal01,C,34,OKC,28,28,27.9,5.8,12.9,0.45,2.0,5.4,0.368,3.8,7.4,0.51,0.528,0.6,0.8,0.818,1.0,5.7,6.7,3.4,0.9,0.9,1.0,1.7,14.2,18.3,10.5,13.5,5.8,7.5,21.0,3.4,0.5,16.1,451.0,18.2,41.6,82.1,39.3
Talen Horton-Tucker,hortota01,SG,20,LAL,65,4,20.1,3.4,7.5,0.45799999999999996,0.6,2.0,0.282,2.9,5.5,0.522,0.496,1.5,2.0,0.775,0.4,2.2,2.6,2.8,1.0,0.3,1.6,2.0,9.0,16.1,6.5,11.6,1.5,2.7,14.3,1.7,0.2,7.5,488.0,16.7,77.3,71.8,44.7
Danuel House,houseda01,SF,27,HOU,36,23,25.9,3.1,7.6,0.40399999999999997,1.5,4.3,0.34600000000000003,1.6,3.2,0.483,0.504,1.1,1.8,0.6509999999999999,0.5,3.2,3.7,1.9,0.6,0.4,1.0,1.9,8.8,12.2,5.7,7.9,2.3,3.2,11.1,1.9,0.2,7.3,263.0,17.3,70.0,136.3,58.9
Dwight Howard,howardw01,C,35,PHI,69,6,17.3,2.6,4.4,0.5870000000000001,0.1,0.3,0.25,2.5,4.1,0.611,0.596,1.8,3.0,0.5760000000000001,2.8,5.7,8.4,0.9,0.4,0.9,1.6,2.9,7.0,14.6,7.3,15.2,4.1,8.5,23.7,0.6,0.3,10.1,697.0,12.6,20.6,192.2,49.4
